Review Title,DateandGroup,Description,Contributions,Compound,Positive,Neutral,Negative,Sentiment,Date,Group
Best Pizza and Salad,Mar 2021 • Friends,Love live loved it. Reasonable priced and yummy. This would be a 5 star except the recommended pumpkin cake wasn’t so great. The pizza is so good and the meatball salad was a great way to eat healthy- except fir the scrumptious garlic knots.,22 contributions,0.9876,0.51,0.49,0.0,Positive,Mar 2021,Friends
Great food and service,Feb 2021 • None,We went there on a chilly windy day. They kept bringing out heaters so everyone was comfortable. Large menu and everything we ordered was superb. The waiter was very alert to any need we had. Definitely will return.,91 contributions,0.9162,0.28,0.72,0.0,Positive,Feb 2021,None
Fantastic food and Service,Mar 2021 • None,"This place is a GEM! We were looking for a place after our beach days on Marco, that wasn’t too crowded so we went to Joeys around 4pm. The food is outstanding as is the service, we have had great servers, especially Jason F. He is such a polite and attentive server. Masks are appreciated but not required and with the whole restaurant being essentially outside seating its perfect!!!! Try Joeys pizza, the sausage is outstanding and the crust is nice and thin, although they also have thick crust.",29 contributions,0.9557,0.178,0.822,0.0,Positive,Mar 2021,None
Joey’s pizza,Jan 2021 • None,First visit to Joey’s in Marco Island. I highly recommend Joey’s paper thin pizza with sausage and green peppers. Without a doubt the BEST pizza I’ve ever had....and I love pizza. It will be a frequent stop for us.,3 contributions,0.4575,0.201,0.664,0.135,Positive,Jan 2021,None
Delicious!,Jan 2021 • None,"Food is amazing, gluten free crust is really good, and they even offer steamed broccoli options (which is a steal considering how big the side it) alongside of some pretty amazing pizza! Delivery can be a bit slow (consistent with what is quoted online, just typically 60-90 minutes so plan a bit ahead so you get your dinner when you want it. It is our go to dinner when arriving on the island every time!!!",,0.9482,0.225,0.739,0.036,Positive,Jan 2021,None
Pizza and Meatball Parm,Jan 2021 • None,"Assuming that people who criticized the pizza either happened to hit a bad one or don't really know what pizza is. Had eggplant pizza and a meatball parm sub. Both were really good. The meatballs came really close to my wife's which are the best I ever ate (and I am 1/2 Italian). Took longer to deliver than stated, but I know that they are very busy. Order early and often.",80 contributions,0.177,0.066,0.877,0.057,Positive,Jan 2021,None
I really wanted to like this place better,Jan 2021 • None,"Doreen's is my favorite breakfast place when I come to visit, but I usually don't do pizza when visiting Marco Island. As I understand it (I could be wrong), this is the same family! After a long day, we just wanted something simple, so I thought this would be great. Ok, it was not terrible, but to state that it is the best pizza on the island may just be a low bar. I am not a pizza snob, but for New York thin crust the the crust was a lot of dough. The pepperoni was not too plentiful. If I had not been told, I would have sworn it was a slightly less greasy and salty Pizza Hut pizza. The place was hopping, and other things may be great. I will probably try something else, but not the pizza, haha! Give a shot and see what you think... the reviews are kind of mixed, so it may just be a preference! I didn't mind the cost, but it was a little high for the quality! $26 for a 16 inch with one topping and tip for take-out.",,0.9793,0.151,0.819,0.03,Positive,Jan 2021,None
Awful,Jan 2021 • None,"If you like something that looks like rabbit dropping's on uncooked dough , this is your place. I sent 25 dollars on a pepperoni and sausage pizza that looked like cra......last night. It fell apart as we ate it and tasted terrible My advice is to look elsewhere like Sami's or Speak Easy. Never again",303 contributions,0.8316,0.208,0.742,0.05,Positive,Jan 2021,None
Our favorite place to go for a salad and pizza,Jan 2021 • None,"This is a very nice fun place. The service is excellent. The salad with the parmesan peppercorn dressing is excellent. The thin crust pepperoni and mushroom pizza is excellent. Those are the things we want, and this place has them. That is why we keep coming back.",26 contributions,0.9588,0.323,0.677,0.0,Positive,Jan 2021,None
Ordinary,Feb 2020 • Solo,"It's a tourist trap. Much better pizza and Italian food on the island. I don't understand why people keep going. Try DaVinci, Samsung, Ciao Bella, Davides, so many others.",55 contributions,0.1531,0.096,0.828,0.076,Positive,Feb 2020,Solo
Worst Pizza,Dec 2020 • None,By far the worst Pizza's we had. Don't order. Get the Pizza from Sammy's. But remember Sammy's service is slow..,,-0.3716,0.0,0.882,0.118,Negative,Dec 2020,None
Great food and Great Atmosphere,Dec 2020 • None,"The place is much bigger than it looks on the outside, so don't let a full parking lot scare you away. Must have are the garlic knots, they could almost be on the dessert menu.",37 contributions,-0.4939,0.0,0.912,0.088,Negative,Dec 2020,None
The Pizza is Fantastic!,Dec 2020 • None,"We sat outside and although it was a bit cool at night, they had heaters placed around the patio area and it was comfortable. We ordered the bruschetta, which was fantastic, and then came the pizza...yum! Definitely recommend and definitely would go back!",111 contributions,0.9492,0.329,0.671,0.0,Positive,Dec 2020,None
Best stromboli,Dec 2020 • Family,"Ate lunch at Joeys. They have a large outdoor patio area which we enjoyed. Shared a large thin crust margherita pizza with my sister, it was wonderful. My husband had a pepperoni and sausage stromboli and said it was the best he's ever had and insisted that I share the review. Service was prompt and we will definitely eat here when we visit Marco again.",,0.9552,0.252,0.748,0.0,Positive,Dec 2020,Family
"Good food, laid back atmosphere, great service",Dec 2020 • None,"Joey's was recommended by some frequent guests in our hotel. The pizza was great and the service was excellent. If you are looking for a laid back atmosphere with outdoor seating, Joey's is a good choice.",144 contributions,0.91,0.294,0.706,0.0,Positive,Dec 2020,None
Excellent food. Exceptional experience.,Dec 2020 • Family,"We were seated immediately, received beverage orders right away and our glasses were never empty. The service we had from Tim was first-class. Our food was served quickly and it was delicious and fresh. We dined outside and it was clean and well kept. Fantastic experience! We will be back!",4 contributions,0.939,0.274,0.726,0.0,Positive,Dec 2020,Family
great take-out,Dec 2020 • None,"We had 3 locals recommend Joey's so when none of us was really in the mood for anything in particular we decided to order take-out. Although pizza was recommended, we ordered pastas and calzones. Food was great and they have something for everyone. We will definitely go back! For those with strong virus concerns, I'd suggest take-out as they are pretty lax with the mask policy.",78 contributions,0.9508,0.233,0.767,0.0,Positive,Dec 2020,None
Loved the Izzy and atmosphere,Dec 2020 • Couples,We really enjoyed our drinks- rum drink and one with mint. Very creative. Staff very attentive. Veggie pizza was great and enjoyed the small salad which we shared. Came here 2 years ago and still the same. We will be back!,,0.9529,0.329,0.671,0.0,Positive,Dec 2020,Couples
Looking around this area,Jul 2020 • Family,"Looking around this area a pizza place we found Joey’s Pizza & Pasta. We order a six slices pizza with mushrooms and extra cheese, pasta and, a Caesar salad. We had a great dinner, and a great service since we enter. I recommend this place and, James C as your server.👍🏻",101 contributions,0.8934,0.211,0.789,0.0,Positive,Jul 2020,Family
Pizza 3 days in a row,Jul 2020 • Family,My kids love the pizza. We ordered 3 straight days in a row :) They delivered quick and are delicious!,3 contributions,0.92,0.483,0.517,0.0,Positive,Jul 2020,Family
Best Take Out Pizza!,Jul 2020 • Family,Fast and friendly delivery! The broccoli salad was perfect for our gluten free family member. Glad we ordered extra because it was great heated up for lunch a few days later!,,0.9577,0.417,0.583,0.0,Positive,Jul 2020,Family
Great italian,Jul 2020 • Family,"Great food. Our favorites included the gnocchi, blackened chicken fettucine alfredo, and penne vodka.",27 contributions,0.7845,0.365,0.635,0.0,Positive,Jul 2020,Family
This is probably the best pizza place in Marco Island!,Jul 2020 • None,"This is probably the best pizza in Marco Island! I’m talking about the large square thick Sicilian pizza that they have, my family and I we have been coming here every year and is a tradition now; because it is really good. I highly recommend this place. Now they have separated tables, all employees wearing masks, and more tables outside.",221 contributions,0.8943,0.166,0.834,0.0,Positive,Jul 2020,None
Awesome,Jul 2020 • Family,Absolute best pizza on the island! Service was awesome and the New York style pizza is top notch. Our kids also loved the wings. This year we tried the pizza with pesto and it was absolutely amazing.,147 contributions,0.9606,0.365,0.635,0.0,Positive,Jul 2020,Family
Good Pizza,Jul 2020 • Couples,Joey’s is our go to place for pizza when we visit Marco. Nice staff and good pizza and rolls. Must try,33 contributions,0.6908,0.231,0.769,0.0,Positive,Jul 2020,Couples
"Terrific food, service and COVID conscientious",Jul 2020 • None,Extensive menu....pizza was NYC quality with reasonable prices. Their staff was terrific and mindful of distancing. They have plenty of outside seating. We will make a return visit!,8 contributions,0.5255,0.115,0.885,0.0,Positive,Jul 2020,None
Great food and service!,Jul 2020 • Family,"Great food all across the menus. We came back multiple times...pizza, pasta and incredible sandwiches especially chicken parm!",143 contributions,0.6588,0.205,0.795,0.0,Positive,Jul 2020,Family
Large meal sizes!,Jul 2020 • Family,Family ate lunch here - found the food really good (extremely fresh delicious salads) and the garlic bread knots were good! Pizza was very tasty and good value for the $$!,148 contributions,0.9573,0.44,0.56,0.0,Positive,Jul 2020,Family
Another Good Evening with Pizza,Jun 2020 • None,"We get Joey's pizza most every time we go to Marco Island. Typically, we get carry out. Their service is always timely and the pizza is always great. Our kids love it. We got a Sicilian this time, plus a couple of regular crust pizzas. We especially enjoy the white pizza. The Sicilian is nice when you have a big group of teenagers because it will fill them up. We had enough leftovers for snacks for them the next day.",348 contributions,0.9392,0.167,0.833,0.0,Positive,Jun 2020,None
Awesome Pizza,Jul 2020 • None,We ate at Joey's around 4:00 in the afternoon. We got right in. We ordered both the paper thin pizza and a Sicilian. They were both amazing. The only thing I might change would be a little more sauce on the pizzas. Great service too!,,0.8478,0.17,0.83,0.0,Positive,Jul 2020,None
Great food and service,Jun 2020 • Family,Every year we stay at the JW we go to eat dinner here. Great pizza and the service is amazing. Would definitely go back again.,126 contributions,0.9317,0.399,0.601,0.0,Positive,Jun 2020,Family
Family dining,Jul 2020 • Family,Great family dinner. Great portions and a small pizza was not small at all! Definitely get an order or garlic knots they were AWESOME!!,166 contributions,0.9559,0.466,0.534,0.0,Positive,Jul 2020,Family
Great place for Pizza and Pasta !,Jun 2020 • None,"Great ""home-made-"" Pizza and the pasta was scrumptious. You won't go hungry here because the portions were generous. The saled my wife ate was very generous with the chicken topping. Glad to have had a nice lunch experience here.",37 contributions,0.9618,0.38,0.62,0.0,Positive,Jun 2020,None
Best pizza ever,Jun 2020 • Couples,"The best pizza we have since we moved from New York, the ingredients, flavor are a delight. Thanks Anthony!",,0.906,0.429,0.571,0.0,Positive,Jun 2020,Couples
Great pizza and service!,May 2020 • None,This place has become a must eat tradition for us during our visits to Marco over the past several years. We love the pizza and drink selections and dessert is a must do as well. The service is outstanding as is the atmosphere. Highly recommend this place!,334 contributions,0.9244,0.246,0.754,0.0,Positive,May 2020,None
Good pizza place on Marco Island,Jun 2020 • Family,"Delivery. Had a large pepperoni pizza, garlic knots, my teenage daughter got a grilled chicken Caesar salad. Gentleman who answered the phone was nice and helpful. I enjoyed the pizza, wife and youngest daughter thought it was too greasy. It’s pepperoni pizza, of course it’s greasy. Garlic knots were tasty but a little cold, marinara dipping sauce was runny but tasted good. Teenager endorsed the salad. Would definitely return next time we’re on Marco.",,0.9306,0.198,0.802,0.0,Positive,Jun 2020,Family
Gross.. no cheese and like cardboard,May 2020 • Family,This place really went downhill. Whole pizza top and bottom was crust because there wasn't any cheese on it. Sauce was dry and tasteless and so was all the crust.,,0.2023,0.058,0.942,0.0,Positive,May 2020,Family
One and done,May 2020 • Couples,"Ordered pick-up for our first day in Marco Island. Pepperoni pizza was average at best, the garlic knots were tasty but 3 oz of marina wasn’t nearly enough for 6 knots. The salad may have been good but they didn’t pack utensils which is problematic when staying at a hotel. A greater attention to detail is a must!!!!",5 contributions,0.7916,0.171,0.769,0.06,Positive,May 2020,Couples
Yummy Garlic Knots!,Mar 2020 • None,"We've visited Marco a lot and this is a regular stop for us and we got carry out here a few times on this trip. My wife loved the chicken parmesan, kids got spaghetti, fettucine alfredo, I got a ham and cheese one night, and a pepperoni pizza another. Great place!",61 contributions,0.7959,0.158,0.8,0.042,Positive,Mar 2020,None
Solid Italian For Good Change of Pace,Mar 2020 • None,"When you you think about Marco Island and eating options, the first place that comes to mind is not naturally an Italian restaurant. We found some great seafood in the area, but it is nice to have a change of pace. Joey’s fills that space. Four of us each had 2 individual slices. Tried a meat lovers, a Hawaiian, a mushroom and pep, and plain cheese. All were big slices and good pizza. The service was fine. The restaurant environment is relatively pedestrian and the restaurant is on the main road in and out of Marco so you are not there for the environment. If you are hungry and are watching your pennies, not a bad choice for lunch.",147 contributions,0.9669,0.162,0.838,0.0,Positive,Mar 2020,None
Hungry Hoosiers,Mar 2020 • None,"Joey’s is a staple for us. We actually had dinner twice in a week here this trip. 1st time was knots and pizza, 2nd was pasta, Stromboli and pizza(and of course, knots). Downside is the knots are filling and you can’t finish dinner. Upside the knots are great and you have left overs. In between the 1st and 2nd trips, the Governor ordered restaurants to go to 50% capacity. So Joey’s removed every other table. It looked kinda strange, but thinking about it, it was a very wise move. The staff was very good about limiting contact and it was a very enjoyable meal. THANKS Joey’s!",98 contributions,0.9705,0.179,0.798,0.023,Positive,Mar 2020,None
Good Italian,Mar 2020 • None,We ate here several times. I recommend eggplant parmigiana. Their Pizza is also good. It gets very busy and parking can be challenging.,11 contributions,0.7184,0.269,0.731,0.0,Positive,Mar 2020,None
PIZZA!!! PIZZA!!!,Mar 2020 • None,Can't complain. Good options. Helpful waitstaff. Conveniently located close to dock. We got the Jalapeño mussels and garlic knots for appetizers. Two large pizzas - supreme and buffalo chicken. Good if you are in the neighborhood.,4469 contributions,0.5716,0.196,0.692,0.111,Positive,Mar 2020,None
Great food,Mar 2020 • Couples,We always visit Joeys and enjoy the variety of food offered. Like the option of inside or outside dining. Nice restaurant. Friendly staff.,8 contributions,0.8934,0.381,0.619,0.0,Positive,Mar 2020,Couples
Fun little pizza/pasta joint,Mar 2020 • Family,"My family of four ate here on a recent weekday evening. Friendly service, attentive waitstaff. We all had very good pasta dishes. The pizza looked even better from what I saw. Attractive premises with outdoor seating available. Nice job.",2001 contributions,0.9324,0.319,0.681,0.0,Positive,Mar 2020,Family
Best Margarita Pizza with thick crust,Mar 2020 • None,"Our last night on the island and we didn’t know what we wanted. Something small and light. We settled on a Margarita pizza with thick crust. Wow! The crust was moist and airy if that makes sense. Great sauce, lots of cheese and tomatoes with big basil. So damn good. So much for small and lite! That crust alone was my favorite and would eat that by itself. Very filling and delicious! What a gem to find on our last night, but we will be back and maybe this time eat in the restaurant instead of takeout!",,0.8478,0.122,0.845,0.034,Positive,Mar 2020,None
Always a treat,Mar 2020 • Friends,Retirement luncheon in this awesome restaurant . Great eggplant stack and Nonie approved pumpkin cake dessert which is huge and delicious ! Service was outstanding and cost reasonable ! Must go place for your visit to Marco Island,81 contributions,0.9731,0.435,0.565,0.0,Positive,Mar 2020,Friends
"Nice delivery option, decent but not all that",Mar 2020 • Couples,"After paying a ton of money for a mediocre meal at one of the local seafood restaurants, we wanted to just stay in and eat something basic, and Joey’s did not disappoint. We were staying in a high rise condo gated community with a guard house, and it was a bit of a hassle to get the delivery coordinated (with the condo not Joey’s), but this hit the spot. Pizza was a smidge “bland”. Could have used some red pepper flakes maybe, we even tried salt. So it wasn’t the best pizza ever but it was good enough. Delivery guy was great.",363 contributions,0.9579,0.157,0.843,0.0,Positive,Mar 2020,Couples
Dinner with friends,Mar 2020 • Friends,Always good food and a lively atmosphere! Consistently good food and great service. Nice place for families or just a couple. Not over priced with comfortable seating. At times difficult to park. Have patients you’ll get a spot. You can make reservations for 6 or more!,,0.9515,0.342,0.614,0.044,Positive,Mar 2020,Friends
Yum!,Feb 2020 • None,Looking for the best thin crust pizza on the island? Look no further because Joey’s is the place for you. Top off your delicious pizza with a scrumptious slice of key lime pie!,8 contributions,0.8977,0.31,0.638,0.052,Positive,Feb 2020,None
Dinner,Mar 2020 • Couples,Great food and great service. The staff was attentive and food was very good. I had the veal and the clams and we ordered a thin crust Joeys way pizza which is a sausage pizza. Which is the of the best I’ve had,3 contributions,0.9485,0.302,0.698,0.0,Positive,Mar 2020,Couples
Tasty Visit,Mar 2020 • None,"I found the pizza to be delicious, the toppings plentiful, the portions good, the service attentive and friendly. What’s not to like?",125 contributions,0.8267,0.339,0.588,0.073,Positive,Mar 2020,None
Great New York style pizza and other things.,Mar 2020 • None,"My wife had the Bread Salad she said was excellent, and it even got better after her third drink. The pizza my son and I had was very good, servers were very good and and the selection was very good. A good place to stop for pizza or have it delivered.",,0.9529,0.305,0.661,0.035,Positive,Mar 2020,None
A little taste of Chicago,Feb 2020 • None,"Stopped in for a bite on our trip to Marco Island. Quick seating at the peak of dinner hour, quick service and quick food. Almost too quick! The appetizers were great, tried just about all of them, the pasta and pizza dishes were were great as well. Always a favorite spot to eat when on the Island and getting away from the cold in Chicago!",3 contributions,0.9183,0.188,0.786,0.026,Positive,Feb 2020,None
Great Pizza to stay or go!,Feb 2020 • None,"Never visit Marco without at least one visit to Joey's or pizza deliver at worst. Have a nice bar which is open to the sea breeze, busy , crowded and a fun spot. Also have live music which is usually very good. A real mixed crowd, lots of families, staff is friendly and personable. The pasta dishes are very good and pricing is suitable to every taste.",50 contributions,0.8906,0.204,0.742,0.053,Positive,Feb 2020,None
Not Familiar Recipes,Feb 2020 • None,Many people seem to love this casual Italian restaurant. The decor and service were welcoming. I was excited to see stuffed artichokes on the menu. One of my favorite foods that is rare to find on menus. The artichoke was properly cooked. The “stuffing” seemed more like some sort of sauce. While the ingredients were the familiar breadcrumbs and olive oil some how it was more liquid than stuffing. I also order stuffed clams....again this liquidish sauce all over the plate. Just not a place for me! The pizza looked good and my date’s chicken parm was average....too many other good places to bother with this one.,226 contributions,0.9637,0.194,0.787,0.02,Positive,Feb 2020,None
Pizza Carry Out,Feb 2020 • None,"No clue what the restaurant is like b/c we just got a pizza ""to go"". The carry out is located inside Doreen's . .which, side note, looks so cute but we never made it there for breakfast. The pizza was So good and wish we would have had time to get another.",159 contributions,0.8961,0.21,0.762,0.027,Positive,Feb 2020,None
Delicious!!!,Feb 2020 • Couples,"Delicious!!! Garlic knots were good. Traditional NYC style pizza was great!! A little loud- I must be getting old. Lol. If there is a line, take out or delivery is an option.",,0.94,0.37,0.63,0.0,Positive,Feb 2020,Couples
Hotel delivery,Feb 2020 • Couples,"Ordered in at the hotel we were staying and came across Joey’s Pizza. We ordered a pizza, bruschetta, and Joey’s way calamari. Pizza and bruschetta were good calamari would have been better had it come with the hot cherry peppers it was suppose to. Otherwise would have been a 5 star order.",15 contributions,0.7003,0.11,0.89,0.0,Positive,Feb 2020,Couples
Sadly a very bad experience,Feb 2020 • Friends,Sadly a very bad experience Tried to place order for delivery Wednesday for Thursday delivery— surprise dinner for group of 10 The staff said no — must be hours before delivery The order was disappointing not delivered properly— delivery guy was not at fault and in fact was great Pizza 1 of 3 as well as pasta dinners and salad were not included in order - veggie pizza was not delivered Finally after being on hold for 25 minutes (yes) explained Joeys paper thin crust was missing— they didn’t seem to care 45 minutes later a veggie pizza shows up with thick crust— not what we wanted— must watch carb especially in pizza crust. Called next day and asked for Joey — I don’t want anything but thought he should know what’s going on with orders and staff. Well he said he was disappointed and would immediately check and get back with me 3 days later — waiting,619 contributions,-0.2424,0.082,0.843,0.075,Negative,Feb 2020,Friends
Carry out miscues,Feb 2020 • Family,Had family down and ordered pizza and salad to pick up They said half hour came after half hour and the rude person at the counter said I was early and it hadn’t been half hour showed her my phone clearly showing it was over half hour and she was absolutely no help at all There were a dozen or so other customers who also were waiting way to long and extremely agitated Lost a long time customer and I’m sure a lot more that were as aggravated I couldn’t believe they didn’t offer a price break or a soda Terrible customer sevive,51 contributions,-0.855,0.071,0.774,0.155,Negative,Feb 2020,Family
Traditional pizza & Italian dishes,Dec 2019 • None,"Joey's is the feel good, neighbor hood Italian place. Sports at the bar, outdoor seating, great pizza, salad, pasta & garlic knots. Staff are great. Locals & visitors dig it. It's sort of a huge, loud, Marco Island Italian version of Cheers. Sitting inside can get loud during season, but sitting at the bar or outside helps allow for conversation without yelling. It's a fun, cheery place to enjoy HUGE portions of good Italian food. Not gourmet, but solid with great flavor.",20 contributions,0.9871,0.361,0.591,0.048,Positive,Dec 2019,None
Great pizza delivery,Feb 2020 • None,Every trip to Marco Island requires a stop at Joey’s. Pizza was delivered on time and hot. It’s refreshing to get quality Italian sausage being away from Chicago. We have eaten in the restaurant many times and service is great!,5 contributions,0.4926,0.101,0.849,0.05,Positive,Feb 2020,None
Terrific Time,Feb 2020 • Couples,"We went with another couple for dinner. With a full bar we had just what we wanted to drink. Dinner orders included chicken broccoli soup, mussels, “Joey’s Way” and a meatball salad. All food was delicious with excellent service. Fun place with all the goodness!",,0.9324,0.264,0.736,0.0,Positive,Feb 2020,Couples
Italian on the Island,Feb 2020 • Couples,"We went to this restaurant on a Friday night and it was really busy, and we went early. Wait time at 5:30 pm about 15 minutes. Seated after wait and ordered drinks and appetizers. They came quickly and the Bruschetta was excellent. My wife had penne pasta with peas and mushrooms while I had veal Parmigiana. Both dishes were done well. The restaurant is small, noisy, and a hive of activity.",28 contributions,0.6249,0.08,0.897,0.023,Positive,Feb 2020,Couples
Very good pizza!,Feb 2020 • Couples,"We enjoyed a couple of pizzas and brews for dinner last week, and the fact that it was within walking distance of our vacation spot on Seaside was a plus. Quick service, great pizza!",187 contributions,0.8268,0.204,0.796,0.0,Positive,Feb 2020,Couples
A Perfect Go-To on Marco Island,Feb 2020 • None,"We are staying on Marco Island for a month, and the pricey waterfront restaurants are great once in a while but we needed a reasonably priced ""go-to"" place and this is definitely IT! We started with a Caesar Salad which was nicely prepared, with shaved parmesan and a generous amount of brown anchovies plus a delicious garlic knot roll. We then ordered a medium sized pizza. Your choice of thin or thick crust, or ""paper-thin"" crust. We tried the paper thin and it was awesome. There is a nice three-sided bar which is half-outside and half-inside. The dining room is large. Our bartenders provided excellent, friendly service. There is good parking. We'll be back for sure. It's a great value (house wine $6 per glass) and excellent food.",179 contributions,0.9965,0.371,0.629,0.0,Positive,Feb 2020,None
Very good casual Italian,Feb 2020 • None,"We each enjoyed combo pizzas which were fresh and delicious. Just the right amount of toppings and sauce. Mine was gluten free, one of the better GF pizzas I've had in a while. Nice atmosphere and good casual pricing in a very nice resort area of Marco Island.",112 contributions,0.9753,0.414,0.586,0.0,Positive,Feb 2020,None
Throw out the take out,Feb 2020 • Family,"We ordered a pizza (extremely salty), eggplant parmesan which was so tough we couldnt eat or cut it, and a stuff artichoke so wet and salty it was edible. So we got a take out to throw out. All for the bargain price of over ,$50. What a waste.",82 contributions,-0.2908,0.073,0.83,0.097,Negative,Feb 2020,Family
Pizza,Jan 2020 • Couples,The pizza was amazing. The beer selection good. A member of our party had the lasagna and was very happy. Good atmosphere. Great vibe. Went the next morning to his wife’s place next door for breakfast. Also the bomb. Go early on weekend.,,0.9768,0.413,0.587,0.0,Positive,Jan 2020,Couples
Paper thin crust pizza,Jan 2020 • None,"The pizza and desserts at Joey's are great. We decided to do takeout for our last night on Marco Island, and we tried Joey's for pizza delivery. The food was outstanding; our only complaint is the driver telephoned and asked us to come downstairs to pick up our order.",105 contributions,0.7845,0.144,0.817,0.039,Positive,Jan 2020,None
Best Paper Thin Pizza Ever!,Jan 2020 • None,"While camping at Collier Seminole, we visited Naples and Marco Island several days. We like to try new restaurants (mostly seafood) each time we are there. On our third day, we tried Joey’s Pizza and Pasta for the best pizza. We got one with sausage crumbles, onion and mushrooms. It was so good, we went back our last day to get another!",104 contributions,0.8941,0.154,0.846,0.0,Positive,Jan 2020,None
Great pizza and good italics an,Dec 2019 • Friends,The pizza is very good and is a 'must' for us on our annual trip to Marco. We also had Italian food - I had the chicken Alfredo and found it good (not great) but pizza was great as are the garlic knots. Their sausage roll s good and they have green olives - one of my favorites!,335 contributions,0.9591,0.274,0.726,0.0,Positive,Dec 2019,Friends
Delicious Food,Jan 2020 • Family,"We had our food delivered & my expectations were low. Our dinner was exceptional. The salad with fresh mozzarella & tomatoes was amazing. I’m from NY & the pizza was fantastic, thin, chewy, & lots of toppings. The pork chop was huge & lean. The garlic rolls were addicting!",223 contributions,0.8805,0.23,0.73,0.039,Positive,Jan 2020,Family
Great pizza!,Jan 2020 • None,Really good meal! Just a good quality pizza with so many different menu options to choose from. We come here every time we are on the island!,,0.7888,0.225,0.775,0.0,Positive,Jan 2020,None
GARLIC KNOTS,Jan 2020 • Friends,Always a great choice. Consistently good food and service. Never disappoints. Doreen’s Salad is my personal favorite. The chicken wings are the best too. We have never been unhappy with the meals or the service.,212 contributions,0.9566,0.401,0.599,0.0,Positive,Jan 2020,Friends
Joeys for pizza with friends.,Jan 2020 • None,"Joeys for pizza with friends. Cold evening but was able to sit in outdoor area with heaters and roll up wind protectors down. Arrived around 5:30 pm and glad we did as about 30 min later it was packed. Got a large sicilian pizza which was a mistake as it was too thick, it also was burned. Thinking the waitress was new as she seemed a bit confused about menu choices. Thinking on a warmer day with a better waitress and a thin crust, non burned pizza our experience would have been better.",187 contributions,0.8885,0.161,0.78,0.059,Positive,Jan 2020,None
Great place to eat with friends!,Jan 2020 • Friends,"We ate here while vacationing with friends and thoroughly enjoyed our pasta meals and the garlic knots!. Salads needed less dressing so order it on the side. Also, had nice, fun cocktail menu. I would definitely go back!",185 contributions,0.944,0.334,0.666,0.0,Positive,Jan 2020,Friends
Great atmosphere,Jan 2020 • None,Great atmosphere but a bit loud! Food was excellent! Very generous portions!. Lasagna hot sandwiches and pizza were all delicious! A neat place and great atmosphere,13 contributions,0.9853,0.612,0.388,0.0,Positive,Jan 2020,None
Good Italian - extensive menu,Jan 2020 • Couples,We had a good meal here and enjoyed the outside seating. The small pizzas are huge and the pasta is generous and can be shared. Nice wine and beer offerings. Good service. They only take reservations for groups Over 8.,82 contributions,0.9578,0.383,0.617,0.0,Positive,Jan 2020,Couples
Good salad,Jan 2020 • Friends,"Great salar, very fresh, pizza was ok But we are from new york where pizza is king. Service was great . green peppers should be cooked on the pizza, not raw.",59 contributions,0.8909,0.308,0.692,0.0,Positive,Jan 2020,Friends
Great atmosphere and food,Jan 2020 • None,This place is busy so get there early and maybe they will have some of their stuffed artichokes left. They were so good and worth the wait.,9 contributions,0.71,0.191,0.809,0.0,Positive,Jan 2020,None
Good Pizza and fine Italian dishes,Dec 2019 • None,The pizza isn't NY/NJ but it's the closest and the best I found in SWFL. The Italian dishes are among the best I have eaten anywhere..so? Go to Joey's for good Italian food and be happy you did.,53 contributions,0.9735,0.39,0.61,0.0,Positive,Dec 2019,None
Go to place for Pizza,Dec 2019 • None,"Normally if we go for pizza, it is at Joeys. They have a paper thin pizza which is one of the better pizzas in the area, we think. Normally sit at the bar, but find the bar staff to be OK, but nothing noteworthy. However, can't go wrong with the food.",,0.8474,0.163,0.837,0.0,Positive,Dec 2019,None
Best pizza ever,Dec 2019 • Family,Joeys is the one place we visit several times when we are staying on Marco . Thin crust joeys way is the best . It’s a family favourite. Desserts are lush too ! Great service every time .,70 contributions,0.8622,0.217,0.783,0.0,Positive,Dec 2019,Family
It was ok,Dec 2019 • None,"Thought we were in for a real treat after reading all the reviews, but to all of us, it was just ok. The pizza was average and the sandwiches were ok. We agreed that the pizza from Sami's was much better. We'll stick with them.",65 contributions,0.9178,0.263,0.737,0.0,Positive,Dec 2019,None
Dinner,Dec 2019 • Family,Outstanding food and service. Buffalo pizza was the best ever!!! Joey and staff are awesome!!! Will definitely be back.,5 contributions,0.9529,0.519,0.481,0.0,Positive,Dec 2019,Family
It’s night in Marco,Dec 2019 • None,"We just arrived in Marco and needed a place to have dinner. Since we had been to Joey’s previously we thought we would go again. Never disappoints us - amazing pizza with such FRESH ingredients - bright red tomatoes, beautiful taste. The place was hopping but our service was fabulous and Victoria our server was very attentive even though the restaurant was packed. Food was served in a timely manner.",73 contributions,0.8615,0.169,0.804,0.027,Positive,Dec 2019,None
Will not be returning,Nov 2019 • Family,I gave this place a few chances and each time was more and more disappointed. The service is horrible and management is poor or rather non existent. The food also is sub par and whatever you order whether it be appetizers entrees pizza all comes out random times no matter what you tell the servers...,,-0.8899,0.047,0.754,0.2,Negative,Nov 2019,Family
Great lunch spot,Dec 2019 • None,"Great spot for lunch with pizza, pasta and salad. Great place overall. Joey does it again with the pizza. Good place for the family, good atmosphere",,0.9325,0.389,0.611,0.0,Positive,Dec 2019,None
Best pizza on Marco,Dec 2019 • Family,"We ordered white, meat and pepperoni pizzas. They were all excellent! Wouldn’t get pizza from anywhere else!",46 contributions,0.6467,0.211,0.789,0.0,Positive,Dec 2019,Family
